,Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Expected_checkin,Expected_checkout,Booking_date,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Use_Promotion,Discount_Rate,Room_Rate
29,1,24,0,0,2,0,0,736208,736209,736144,3,1,0,2,1,0,0,2,1,0,0,151
30,1,35,3,1,0,1,0,736208,736209,736032,2,1,0,1,1,0,0,0,1,1,10,154
31,1,58,1,1,0,2,1,736208,736211,736207,5,1,2,0,1,1,2,2,0,1,40,108
32,1,70,2,0,3,2,2,736208,736209,736151,5,2,1,1,0,0,1,2,1,1,30,165
33,1,19,1,1,3,2,1,736208,736209,736014,4,2,1,1,0,0,0,0,1,0,0,190
34,0,38,2,2,3,0,1,736208,736211,736014,3,1,0,2,1,0,0,2,1,0,0,227
35,0,24,0,2,0,1,0,736209,736210,735996,4,1,0,1,0,0,1,0,1,1,40,198
36,0,19,1,0,1,3,0,736209,736210,736096,2,2,0,2,0,0,0,2,0,1,25,180
37,1,26,1,1,2,0,2,736209,736213,735991,2,2,1,2,0,0,2,2,0,1,10,175
38,1,42,0,3,0,2,1,736209,736210,736019,1,1,0,2,0,0,2,2,0,1,30,162
39,1,27,2,1,2,2,0,736209,736210,736032,3,1,0,0,1,0,2,2,0,0,0,117
40,0,50,2,2,0,2,0,736209,736211,736137,1,2,1,0,0,0,0,2,1,1,10,241
41,0,27,0,2,0,0,2,736209,736210,736153,4,1,0,0,0,0,0,1,1,1,25,244
42,0,51,1,3,0,3,1,736209,736210,736136,1,1,0,2,0,0,1,2,1,1,25,222
43,0,26,2,2,2,3,2,736209,736212,736128,1,2,1,1,0,0,0,2,0,1,5,140
44,1,30,3,0,3,3,0,736209,736211,736168,3,3,0,0,0,0,0,2,0,0,0,106
45,0,55,3,2,0,0,1,736209,736210,736195,2,2,0,1,1,0,0,2,1,0,0,248
46,1,69,2,0,1,3,1,736209,736210,735999,2,1,0,1,0,0,0,1,1,0,0,116
47,1,24,3,2,0,0,2,736209,736210,736163,2,2,1,1,0,0,0,2,1,0,0,183
48,0,55,3,0,2,1,2,736209,736211,736153,2,3,1,1,1,0,2,2,0,1,5,196
49,1,26,3,1,1,0,1,736209,736211,736117,4,1,0,0,1,0,2,2,0,1,25,144
50,1,20,2,1,1,0,1,736209,736210,736061,5,2,0,2,0,0,0,2,1,0,0,109
51,0,62,3,0,0,2,2,736209,736210,736080,5,2,0,1,0,0,0,2,0,1,5,160
52,1,64,0,2,1,1,1,736209,736211,736025,1,2,1,1,0,0,0,1,1,1,20,230
53,0,54,1,0,1,1,0,736209,736210,736090,1,2,0,1,0,0,0,1,1,1,25,129
54,0,50,0,0,1,2,1,736209,736210,736177,3,1,0,2,1,0,0,2,1,0,0,170
55,1,70,3,0,0,1,2,736209,736212,736120,4,2,1,0,0,0,0,2,0,1,10,238
56,1,37,3,0,2,3,1,736210,736211,736131,3,1,1,2,0,0,0,2,0,1,5,169
57,1,27,2,1,1,1,2,736209,736212,736070,1,2,0,1,0,0,0,0,1,1,40,224
58,1,20,2,0,2,2,1,736209,736211,736045,4,1,0,0,0,0,0,0,1,1,40,215
59,0,42,0,3,2,1,1,736209,736211,736205,2,1,0,2,0,0,0,2,1,0,0,190
60,0,56,2,3,2,0,1,736209,736212,736165,2,1,0,1,0,0,0,1,1,1,20,201
61,1,70,2,3,1,0,2,736209,736210,736055,3,1,2,1,0,0,0,0,0,1,25,142
62,0,49,1,2,0,3,0,736209,736213,736066,1,1,0,2,0,0,0,2,1,1,15,246
63,1,56,3,1,2,1,0,736209,736211,736180,2,1,0,0,0,0,0,1,0,1,20,157
64,0,68,0,1,2,2,1,736209,736210,735989,1,2,0,1,0,0,0,2,1,0,0,181
65,0,60,1,3,0,2,1,736209,736210,736174,2,1,0,2,0,0,0,1,1,1,30,152
66,0,52,1,0,2,0,0,736209,736210,736154,2,2,0,1,0,0,2,2,1,1,10,241
67,1,21,3,0,0,1,2,736209,736213,736084,3,1,0,1,0,0,0,2,0,1,5,206
68,0,65,1,3,1,2,1,736209,736212,736040,1,2,1,2,0,0,2,1,1,1,20,136
69,0,56,3,3,2,2,0,736209,736212,736024,2,2,1,2,1,0,0,0,1,1,10,109
70,1,45,3,3,1,2,0,736209,736210,736107,5,1,1,0,1,0,0,1,1,0,0,176
71,0,41,0,0,0,0,2,736210,736214,736019,3,1,1,1,1,0,2,2,0,0,0,203
72,1,30,2,1,1,0,1,736210,736211,736203,3,2,0,2,0,0,2,2,0,0,0,174
73,0,70,1,2,1,3,1,736210,736211,736182,2,3,1,0,0,0,0,2,1,0,0,195
74,1,49,2,2,2,1,1,736210,736211,736046,2,3,2,2,1,1,0,0,1,1,5,164
75,0,30,0,0,3,1,1,736210,736212,736084,3,2,0,1,0,0,0,0,1,1,10,176
76,1,64,3,3,1,2,2,736210,736212,736001,2,2,1,1,1,1,1,2,1,1,30,186
77,0,42,1,0,3,2,0,736210,736211,736156,2,1,0,0,1,1,0,1,1,1,25,178
78,0,19,1,3,1,1,1,736210,736211,736058,2,3,0,2,1,0,0,0,1,1,15,209
79,0,23,1,2,1,2,0,736210,736213,736181,1,1,0,1,1,0,2,1,1,1,10,109
80,1,65,3,1,1,2,2,736210,736213,735998,1,2,0,0,1,0,1,2,1,0,0,139
81,1,64,3,1,3,2,0,736210,736213,736118,3,1,0,0,0,0,0,0,1,1,40,214
82,1,35,0,2,2,3,0,736210,736212,736043,2,1,0,1,0,0,0,1,1,1,20,199
83,0,53,1,0,1,2,2,736210,736211,736058,1,3,0,2,1,0,0,2,1,1,5,240
84,0,23,1,0,2,2,1,736210,736211,736133,1,1,0,2,0,0,2,1,1,0,0,128
85,0,37,3,3,1,2,1,736210,736213,736020,2,2,0,2,0,0,0,2,0,0,0,129
86,0,63,3,0,1,1,1,736210,736211,736058,2,3,0,1,0,0,2,1,0,1,10,177
87,1,69,0,0,1,1,0,736210,736211,736010,1,2,0,2,0,0,0,0,0,0,0,230
88,0,58,0,3,1,1,0,736210,736212,736086,2,2,1,1,0,0,0,2,1,1,5,150
89,0,21,2,1,1,1,0,736210,736211,736087,2,1,0,1,0,0,0,1,1,1,10,247
90,0,65,3,0,2,1,1,736210,736211,736027,2,1,0,0,1,0,0,1,1,1,10,119
91,0,63,2,0,2,3,1,736210,736211,736042,2,1,0,1,0,0,2,2,1,1,20,205
92,0,49,1,2,0,3,2,736210,736212,736174,2,1,0,2,0,0,2,2,0,0,0,236
93,1,58,0,3,0,2,2,736210,736211,736023,2,3,0,0,0,0,0,2,0,1,10,114
94,1,57,2,0,0,1,2,736210,736211,736100,2,2,0,2,0,0,2,1,0,1,15,196
95,1,66,2,1,1,2,0,736210,736211,736083,1,1,0,0,0,0,1,2,0,0,0,109
96,1,48,3,0,0,3,0,736210,736214,736199,3,1,0,0,0,0,0,2,1,1,25,146
97,0,42,0,2,0,2,1,736210,736211,736139,2,1,2,2,0,0,2,0,0,0,0,188
98,0,69,2,3,3,3,2,736210,736211,736210,2,2,0,0,0,0,0,2,1,1,10,243
99,0,66,3,2,2,0,0,736210,736213,736087,1,1,0,0,0,0,0,1,1,1,20,154
100,0,40,3,1,1,2,0,736210,736211,736016,4,1,0,1,0,0,0,2,1,0,0,228
101,0,35,3,0,1,0,2,736210,736211,736026,1,3,0,0,1,0,0,2,1,1,10,150
102,0,35,3,0,3,2,2,736210,736212,736055,3,2,0,2,1,0,1,1,0,1,40,128
103,1,60,3,0,2,0,1,736210,736211,736022,2,2,0,2,0,0,2,2,1,1,10,137
104,1,49,1,1,3,3,0,736210,736211,736055,1,1,0,0,1,0,0,2,1,1,10,139
105,0,40,2,0,1,1,0,736210,736211,736076,2,2,2,0,1,0,2,0,0,1,5,151
106,1,68,2,0,2,2,2,736210,736213,736177,2,3,0,2,0,0,0,0,0,1,20,115
107,1,57,1,0,2,2,0,736211,736212,736204,2,2,0,2,1,0,0,0,1,1,10,226
108,0,47,2,0,2,0,1,736211,736212,735991,2,2,1,0,1,1,0,1,0,1,5,116
109,1,66,3,3,1,3,2,736211,736212,736092,2,2,0,2,1,0,1,0,0,0,0,174
110,0,50,2,1,2,2,2,736211,736213,736059,5,2,0,2,0,0,1,1,1,1,10,249
111,1,30,2,1,1,1,2,736211,736212,736028,5,3,0,1,1,0,2,2,1,1,10,169
112,0,26,1,3,2,2,2,736211,736215,736070,3,2,0,0,0,0,0,2,0,1,10,163
113,0,33,0,3,0,0,0,736211,736212,736140,5,1,0,1,0,0,2,1,1,1,5,145
114,0,19,0,1,2,2,1,736211,736213,736070,1,1,0,0,0,0,0,2,1,1,10,112
115,1,69,3,3,2,2,0,736211,736213,736065,3,1,0,2,1,0,0,2,1,1,10,140
116,0,23,0,0,1,1,1,736211,736212,736123,1,2,1,1,0,0,0,2,1,1,5,121
117,1,32,1,2,1,0,0,736211,736212,736018,3,1,2,1,1,0,0,1,1,0,0,241
118,0,31,1,1,3,2,1,736211,736212,736064,3,1,0,2,1,0,0,2,1,1,20,246
119,0,39,1,2,3,1,0,736211,736212,736073,2,1,2,2,1,0,0,0,0,1,25,185
120,0,25,3,0,1,1,2,736211,736214,736110,1,2,0,1,1,1,2,2,1,1,15,179
121,1,31,0,2,1,0,0,736211,736213,736055,2,3,0,2,0,0,1,2,1,1,30,136
122,0,33,2,0,1,1,1,736211,736215,736202,1,1,0,2,1,0,0,2,1,1,40,221
123,0,25,2,0,1,2,1,736211,736213,736104,5,3,0,2,1,1,0,2,1,0,0,245
124,0,42,0,3,0,3,1,736211,736213,736207,4,1,0,2,0,0,1,2,1,1,40,248
125,0,18,1,2,2,1,0,736211,736212,736093,2,2,0,1,1,0,0,2,0,0,0,124
126,0,44,3,1,2,2,0,736211,736213,736012,3,3,0,0,0,0,0,2,0,1,5,188
127,0,57,0,3,1,3,0,736211,736212,736145,2,1,0,1,1,0,0,2,1,1,40,220
128,1,70,2,0,2,3,2,736464,736466,736386,3,2,0,2,1,0,0,2,0,1,10,130
129,0,56,3,3,2,2,1,736211,736213,736015,2,2,1,0,0,0,2,1,0,1,40,206
130,0,47,1,0,0,1,2,736211,736213,736014,2,2,1,2,1,0,1,0,1,1,10,201
131,1,30,1,1,0,2,0,736212,736214,736007,4,1,0,0,1,1,1,0,0,0,0,189
132,0,21,2,1,1,2,2,736212,736213,736105,1,1,1,2,1,0,0,2,1,1,30,179
133,0,33,0,2,2,0,0,736212,736214,736166,1,2,1,2,0,0,1,2,1,1,10,237
134,1,56,1,0,1,2,2,736212,736213,735998,1,1,0,1,0,0,0,0,1,0,0,100
135,0,48,3,0,1,1,0,736212,736214,736074,4,2,0,2,1,0,0,1,0,1,25,224
136,0,42,1,1,1,1,1,736212,736213,736091,2,1,0,0,0,0,0,1,1,0,0,167
137,1,50,2,3,0,0,0,736212,736214,736066,2,1,1,2,1,0,0,2,0,1,10,201
138,1,34,0,3,3,3,2,736212,736213,736084,1,1,0,0,0,0,0,2,1,1,5,204
139,0,63,1,3,0,2,0,736212,736213,736023,1,2,0,0,0,0,0,2,1,1,30,162
140,1,67,1,2,1,0,2,736212,736216,736118,2,2,0,2,1,1,0,2,1,1,20,155
141,1,23,2,0,2,1,2,736212,736214,736113,1,2,0,0,0,0,0,1,1,1,10,157
142,0,32,0,0,2,1,0,736212,736213,736108,1,2,1,1,0,0,1,1,1,1,15,146
143,1,30,2,2,1,2,2,736212,736213,736034,2,1,0,2,1,0,0,2,1,1,10,243
144,1,58,2,3,0,0,2,736212,736213,736105,1,3,2,0,0,0,2,2,1,1,10,194
145,0,37,0,3,0,1,0,736212,736214,736178,4,3,1,0,1,0,0,2,1,0,0,236
146,0,39,0,3,2,1,0,736212,736213,736078,3,1,0,2,0,0,0,2,1,0,0,175
147,1,67,1,0,0,0,2,736212,736215,736180,2,1,0,1,1,1,0,2,1,1,10,174
148,1,26,0,1,3,2,2,736581,736585,736375,2,3,0,2,0,0,0,2,1,1,20,124
149,0,62,2,1,0,0,1,736212,736215,736057,1,2,0,1,0,0,0,2,0,1,5,141
150,0,48,0,2,0,0,0,736212,736213,736073,4,2,0,0,0,0,0,0,1,1,20,222
151,1,42,1,2,1,2,2,736212,736214,736176,1,3,0,1,1,0,0,1,0,1,25,181
152,0,68,0,0,3,3,0,736212,736214,736062,2,2,0,2,1,1,2,1,1,1,5,183
153,0,51,2,3,1,3,2,736212,736214,736054,1,2,0,2,0,0,0,2,1,1,20,187
154,0,24,2,0,3,2,0,736212,736213,736025,3,2,0,2,1,0,2,2,1,1,5,161
155,1,46,1,3,0,1,2,736212,736214,736103,1,1,0,1,0,0,0,2,0,0,0,158
156,1,54,0,0,1,3,1,736212,736214,736178,2,3,0,1,1,1,2,0,1,0,0,223
157,1,29,2,2,2,3,0,736212,736213,736136,3,2,1,1,1,0,2,0,1,1,20,240
158,0,23,0,1,1,2,2,736212,736214,736059,2,2,1,1,0,0,0,0,1,1,25,117
159,1,69,2,0,3,1,1,736212,736213,736011,5,2,0,2,1,0,0,2,0,1,30,138
160,0,33,2,0,1,2,1,736212,736215,736192,2,2,0,0,0,0,0,2,0,1,10,234
161,1,22,3,3,0,1,1,736212,736214,736070,2,1,0,1,0,0,2,1,0,1,5,135
162,1,44,0,2,0,3,0,736212,736213,736188,2,3,0,0,0,0,2,1,1,1,20,134
163,0,57,1,0,0,2,2,736212,736214,736166,2,2,0,0,0,0,0,1,0,1,20,123
164,1,47,2,1,2,1,2,736212,736213,736110,2,1,1,1,1,1,0,2,0,1,5,138
165,1,59,0,3,3,2,1,736212,736213,736091,2,1,0,1,0,0,0,2,1,1,10,163
166,1,64,0,2,1,1,1,736212,736215,736153,1,1,0,0,1,1,0,2,1,1,10,164
167,1,24,1,3,0,2,1,736212,736213,736045,2,2,0,2,0,0,1,2,1,1,40,177
168,1,48,3,0,2,3,0,736212,736215,736108,2,1,0,1,0,0,0,1,1,0,0,125
169,1,51,2,2,1,2,0,736212,736214,736176,3,2,0,1,0,0,0,2,1,1,10,234
170,1,27,1,3,0,3,0,736212,736213,736103,4,1,0,1,0,0,0,2,1,0,0,178
171,0,44,1,3,0,2,1,736212,736216,736007,2,3,0,2,1,0,0,1,0,1,5,145
172,0,53,2,0,0,2,0,736212,736215,736147,2,1,0,1,0,0,0,2,1,1,20,156
173,0,32,0,0,2,1,2,736212,736214,736006,2,1,0,0,0,0,1,1,0,0,0,211
174,1,57,0,0,3,1,0,736213,736214,736117,2,2,0,2,1,0,0,2,0,1,5,208
175,0,46,0,0,3,2,0,736213,736214,736020,1,1,0,2,0,0,1,0,0,0,0,160
176,1,35,3,0,0,0,1,736213,736216,736212,3,2,1,1,1,0,2,1,1,1,10,162
177,0,27,1,1,2,2,1,736213,736214,736186,1,2,0,0,0,0,0,2,1,0,0,180
178,0,54,3,3,1,3,1,736213,736214,736184,1,1,0,2,0,0,2,2,1,1,25,245
179,0,32,2,0,2,2,2,736213,736217,736022,2,2,0,2,1,0,0,0,0,1,10,158
180,1,60,3,1,0,2,0,736213,736215,736186,2,2,0,1,1,1,0,2,1,0,0,205
181,0,24,3,0,2,3,0,736213,736215,736069,2,2,1,2,0,0,0,1,0,1,5,168
182,1,55,1,0,3,2,1,736213,736214,736097,2,1,0,2,0,0,0,0,0,0,0,145
183,0,30,0,1,2,1,2,736213,736214,736016,5,2,0,1,1,1,0,1,1,1,10,224
184,0,46,0,1,0,1,2,736213,736214,736193,2,2,2,1,1,0,0,2,0,1,40,156
185,0,38,1,0,3,2,2,736213,736215,735994,2,1,0,1,0,0,0,2,0,1,20,216
186,0,41,0,3,1,2,2,736213,736216,736170,2,2,1,1,0,0,2,2,1,1,40,149
187,1,27,2,2,1,2,2,736213,736215,736148,2,3,0,1,0,0,2,1,1,1,20,226
188,1,68,3,2,3,2,1,736214,736215,736160,2,2,1,2,0,0,1,2,1,0,0,162
189,0,50,0,2,2,0,0,736214,736215,736065,1,1,0,2,0,0,0,2,1,1,25,248
190,1,70,1,3,0,3,2,736214,736217,736033,4,3,0,2,0,0,0,1,1,0,0,195
191,1,40,0,0,2,2,1,736214,736217,736025,2,1,0,2,0,0,2,1,0,1,5,193
192,0,22,3,0,2,0,2,736462,736465,736248,1,2,0,0,0,0,0,2,1,1,10,180
193,1,46,1,2,0,2,0,736214,736215,736169,4,2,0,1,0,0,0,2,0,1,5,215
194,0,32,2,1,1,2,2,736214,736216,736023,5,2,0,2,1,0,0,2,1,1,20,131
195,1,57,3,2,1,0,2,736214,736217,736126,2,2,0,1,1,0,0,2,0,1,30,162
196,1,55,0,0,2,0,1,736214,736215,736017,4,1,0,0,0,0,0,0,1,0,0,230
197,1,27,2,3,0,0,2,736214,736215,736006,1,1,0,2,0,0,1,2,1,1,15,125
198,0,37,3,1,0,3,0,736214,736215,736179,1,2,0,2,0,0,2,1,0,1,10,216
199,1,27,3,0,3,1,1,736214,736215,736061,4,1,0,1,1,1,0,1,0,1,5,235
200,1,55,3,0,0,2,2,736217,736221,736220,2,1,0,1,1,1,0,2,1,1,20,250
201,1,60,1,0,2,1,1,736215,736216,736034,3,1,0,1,1,1,2,2,1,1,20,138
202,0,43,3,0,3,2,0,736215,736216,736018,1,1,0,2,0,0,2,2,1,1,10,244
203,1,36,1,1,2,0,0,736215,736217,736063,2,2,2,2,1,0,0,2,1,0,0,211
204,0,21,2,0,1,1,2,736215,736217,736036,2,2,0,2,1,0,0,2,1,1,5,108
205,0,26,1,0,2,3,2,736215,736217,736140,2,1,1,2,0,0,2,2,0,1,10,231
206,1,32,0,0,2,3,0,736215,736216,736214,4,2,1,0,0,0,0,2,1,1,10,140
207,1,42,2,3,2,2,0,736215,736216,736005,2,1,0,0,0,0,0,0,0,1,5,121
208,1,46,0,1,0,1,0,736215,736216,736179,2,1,0,2,0,0,2,2,1,1,15,124
209,0,27,0,0,2,2,1,736215,736216,736165,2,1,0,1,0,0,2,2,1,1,10,152
210,0,67,2,2,1,2,1,736215,736216,736173,2,2,1,0,1,0,0,2,0,1,25,173
211,1,58,2,0,3,3,0,736215,736216,736036,4,1,0,1,0,0,0,2,0,1,5,235
212,0,46,2,2,1,1,1,736215,736219,736035,2,3,0,0,0,0,1,1,0,1,5,207
213,0,70,1,3,1,0,0,736215,736216,736148,4,3,1,2,1,0,0,1,1,0,0,194
214,0,53,3,0,2,3,0,736215,736217,736213,2,2,0,0,1,0,2,1,0,1,5,126
215,1,44,0,2,0,2,0,736215,736219,736028,3,2,0,0,1,1,2,1,1,1,5,107
216,0,30,2,3,1,1,0,736215,736216,736047,1,1,0,0,1,1,0,2,1,1,20,129
217,1,33,2,1,1,2,2,736215,736217,736113,3,2,0,0,1,1,0,2,1,1,15,189
218,1,62,2,0,0,2,0,736215,736216,736092,3,2,0,2,1,0,0,0,1,1,20,190
219,0,48,0,0,1,2,0,736215,736216,736114,2,1,0,1,0,0,0,0,1,1,10,167
220,0,42,2,1,1,0,2,736216,736217,736067,1,2,0,1,0,0,2,2,1,1,5,240
221,1,18,2,0,0,2,2,736216,736218,736125,1,1,0,0,0,0,0,2,1,0,0,139
222,0,51,3,1,2,3,1,736216,736217,736045,1,1,0,1,1,0,0,0,1,1,5,158
223,1,58,0,2,2,1,2,736216,736219,736072,2,2,0,2,0,0,0,2,1,1,10,250
224,1,48,0,0,2,2,0,736216,736217,736027,2,1,0,0,0,0,0,2,1,1,25,246
225,0,70,2,3,1,3,2,736216,736219,736125,5,1,0,2,1,0,2,2,0,1,20,200
226,0,50,2,0,3,0,0,736216,736217,736082,2,3,0,2,0,0,0,2,1,1,10,196
227,1,22,2,0,1,0,1,736216,736217,736208,4,1,0,0,0,0,0,2,0,1,40,195
228,1,29,3,2,0,0,0,736216,736217,736134,2,2,2,2,0,0,0,2,1,0,0,151
229,0,39,3,0,0,2,0,736216,736217,736155,2,3,0,1,0,0,0,1,1,1,40,231
230,0,51,2,3,0,2,2,736216,736217,736142,1,3,0,0,0,0,0,0,1,1,5,223
231,1,61,0,0,1,0,0,736216,736217,736044,5,1,1,1,0,0,1,1,1,0,0,112
232,1,34,3,0,0,0,2,736216,736217,736028,5,2,1,1,0,0,0,2,1,1,10,185
233,0,37,1,3,0,0,0,736216,736217,736072,2,1,0,2,1,0,0,0,1,1,25,164
234,1,44,3,0,3,1,2,736216,736217,736005,2,3,0,1,0,0,0,1,1,0,0,233
235,1,67,2,0,0,0,0,736216,736217,736058,3,1,1,1,1,1,1,1,1,1,20,226
236,0,51,2,2,2,2,1,736216,736220,736219,2,1,0,1,0,0,2,1,1,1,5,245
237,0,48,1,1,3,3,0,736216,736217,736205,2,2,0,1,1,0,1,2,0,0,0,111
238,1,22,0,0,3,2,2,736216,736217,736004,2,2,0,0,0,0,0,2,1,1,5,236
239,0,47,0,3,3,3,0,736216,736218,736186,5,2,0,1,1,1,2,2,1,1,25,213
240,0,31,1,2,2,2,0,736216,736218,736167,2,1,0,1,0,0,0,2,1,1,30,121
241,0,19,2,1,2,3,2,736217,736220,736204,2,2,0,0,1,0,0,2,1,1,10,197
242,1,29,1,0,2,0,1,736217,736220,736208,2,3,0,1,0,0,0,2,1,1,20,161
243,0,50,0,2,3,3,0,736217,736219,736165,3,1,1,1,1,0,2,2,1,1,25,113
244,1,57,3,1,3,2,2,736217,736218,736023,2,2,0,2,0,0,0,0,1,1,10,104
245,0,41,0,3,1,2,1,736217,736219,736152,1,1,0,1,0,0,0,0,1,1,20,205
246,0,48,0,0,3,2,0,736217,736220,736151,1,1,0,2,1,0,0,2,1,1,25,145
247,0,58,2,2,2,1,2,736217,736218,736080,4,1,0,1,0,0,0,2,1,0,0,121
248,1,39,1,0,1,3,0,736217,736218,736073,2,2,0,1,1,1,0,1,1,0,0,107
249,0,62,1,1,2,1,2,736217,736218,736197,3,1,0,0,0,0,0,1,0,1,10,164
250,1,45,0,0,2,2,0,736217,736218,736048,4,3,0,2,1,0,0,1,1,0,0,153
251,1,19,1,0,1,2,1,736217,736220,736110,3,3,1,1,0,0,0,2,1,1,10,229
252,0,31,3,2,1,1,2,736217,736218,736185,3,3,0,2,0,0,0,1,1,1,40,173
253,1,41,1,3,3,3,0,736280,736281,736243,2,2,0,1,0,0,2,2,1,1,20,152
254,1,62,2,1,0,2,0,736574,736575,736392,5,1,2,0,0,0,0,1,1,1,15,139
255,1,35,3,2,1,2,2,736217,736219,736057,2,1,0,2,0,0,0,0,1,1,10,213
256,0,47,2,0,2,2,0,736217,736219,736218,1,2,0,2,0,0,0,2,1,0,0,187
257,1,69,1,2,1,2,0,736217,736218,736024,3,3,0,2,0,0,0,2,1,0,0,117
258,1,30,3,2,3,2,0,736218,736220,736189,2,1,0,0,0,0,0,1,1,0,0,153
259,0,54,3,0,0,2,2,736217,736218,736206,3,2,0,0,0,0,0,2,0,1,25,101
260,1,22,2,0,1,3,2,736217,736218,736201,1,3,0,2,0,0,0,2,0,0,0,159
261,1,65,0,0,0,2,2,736217,736219,736135,1,3,0,1,0,0,2,1,0,1,20,191
262,1,42,3,1,3,0,2,736217,736219,736092,2,2,1,1,1,0,0,2,0,0,0,242
263,0,48,3,2,0,1,1,736331,736332,736114,2,2,0,0,1,1,0,2,1,1,40,187
264,0,47,1,1,0,1,1,736217,736219,736114,2,2,0,0,1,0,0,1,0,1,10,236
265,1,58,1,0,1,2,0,736217,736218,736077,1,2,1,0,0,0,0,2,1,1,20,146
266,0,27,3,3,2,3,1,736217,736221,736221,5,3,0,0,0,0,0,2,1,0,0,145
267,0,67,3,0,0,2,1,736217,736218,736206,1,1,0,1,0,0,2,2,1,1,25,235
268,0,48,3,0,2,0,1,736217,736218,736051,5,1,0,1,1,0,0,1,0,0,0,147
269,1,63,2,1,2,3,0,736217,736220,736025,2,3,0,0,1,0,2,1,1,0,0,183
270,0,52,0,1,1,0,1,736217,736220,736109,3,2,1,2,1,0,0,0,0,0,0,219
271,0,52,1,1,3,0,1,736217,736220,736013,2,2,0,1,0,0,0,2,0,1,25,173
272,0,65,2,1,0,2,2,736217,736218,736142,2,1,0,1,0,0,0,1,1,1,20,165
273,1,42,2,0,1,1,0,736217,736219,736040,2,1,1,2,1,1,0,1,1,0,0,137
274,0,22,1,3,1,1,1,736218,736219,736125,2,2,0,2,0,0,0,2,1,1,20,109
275,0,46,1,3,3,2,1,736218,736219,736178,3,2,0,1,0,0,0,0,1,1,20,192
276,0,29,3,0,2,0,2,736218,736219,736206,2,2,0,2,0,0,2,2,1,1,15,125
277,1,67,0,0,0,2,1,736218,736220,736115,2,1,0,0,0,0,0,0,0,1,15,191
278,0,70,1,2,0,2,1,736218,736219,736122,2,2,0,1,0,0,0,2,1,1,20,209
